"","MMSI","LON","LAT"
"901",316005971,-84.40323,46.50182
"902",366863870,-72.35818,41.08758
"903",368084090,-90.24658,29.96766
"904",367614790,-157.87818,21.3167
"905",316005971,-84.40325,46.50181
"906",368195460,-122.38568,37.78067
"907",366863870,-72.35729,41.09076
"908",316005971,-84.40324,46.50185
"909",316005971,-84.40324,46.50184
"910",366941830,-94.86958,29.37569
"911",368084090,-90.13602,29.91678
"912",367614790,-157.87818,21.31669
"913",366863870,-72.35769,41.09674
"914",368084090,-90.13632,29.91846
"915",368118150,-122.32994,47.39796
"916",366941830,-94.86956,29.37567
"917",368084090,-90.23095,29.95824
"918",366863870,-72.35821,41.08764
"919",366863870,-72.35821,41.08756
"920",338379253,-117.8959,33.61998
"921",366941830,-94.8688,29.37703
"922",366941830,-94.86868,29.37688
"923",366863870,-72.35864,41.0966
"924",368084090,-90.22213,29.94512
"925",316005971,-84.40324,46.50183
"926",368140160,-87.14431,30.33475
"927",366863870,-72.36148,41.09999
"928",366941830,-94.86962,29.37578
"929",368084090,-90.22342,29.94896
"930",316005971,-84.40328,46.50184
"931",366863870,-72.35631,41.09482
"932",366863870,-72.35724,41.09696
"933",366863870,-72.36123,41.09994
"934",366941830,-94.86952,29.37656
"935",366941830,-94.86964,29.37569
"936",368084090,-90.2253,29.95213
"937",316005971,-84.40325,46.50185
"938",366863870,-72.3582,41.08754
"939",316005971,-84.40323,46.50183
"940",316005971,-84.40322,46.50182
"941",368084090,-90.23744,29.96366
"942",338379253,-117.89591,33.61999
"943",368084090,-90.23923,29.96483
"944",367614790,-157.87819,21.31669
"945",368118150,-122.32998,47.39791
"946",368140160,-87.1443,30.33476
"947",368084090,-90.24248,29.96672
"948",367614790,-157.87818,21.31669
"949",366941830,-94.86957,29.37566
"950",368084090,-90.25757,29.96805
"951",368140160,-87.14431,30.33475
"952",366941830,-94.77826,29.34179
"953",366863870,-72.35781,41.08923
"954",366863870,-72.3563,41.0926
"955",368084090,-90.24421,29.96725
"956",316005971,-84.40325,46.50184
"957",366863870,-72.36149,41.09998
"958",338379253,-117.8959,33.61998
"959",316005971,-84.40326,46.50184
"960",366863870,-72.35823,41.08772
"961",366863870,-72.35821,41.08757
"962",368084090,-90.24876,29.96786
"963",316005971,-84.40323,46.50183
"964",366941830,-94.8696,29.37598
"965",366863870,-72.35973,41.09891
"966",367614790,-157.87819,21.31669
"967",316005971,-84.40322,46.50185
"968",316005971,-84.40325,46.50181
"969",368118150,-122.32999,47.39791
"970",367614790,-157.87819,21.3167
"971",366863870,-72.36063,41.09973
"972",366863870,-72.3582,41.08757
"973",316005971,-84.40321,46.50184
"974",368140160,-87.1443,30.33476
"975",316005971,-84.40323,46.50183
"976",316005971,-84.40327,46.50181
"977",316005971,-84.40327,46.50186
"978",367614790,-157.8782,21.31669
"979",366863870,-72.35777,41.09149
"980",368084090,-90.27043,29.96682
"981",368140160,-87.14431,30.33475
"982",366941830,-94.78149,29.34506
"983",366863870,-72.35821,41.08756
"984",316005971,-84.40322,46.50182
"985",366941830,-94.78335,29.34661
"986",366941830,-94.86943,29.37591
"987",316005971,-84.40324,46.50184
"988",366941830,-94.86925,29.37683
"989",366941830,-94.86947,29.37592
"990",366941830,-94.86962,29.37611
"991",367614790,-157.87819,21.31669
"992",316005971,-84.40325,46.50184
"993",316005971,-84.40321,46.50182
"994",316005971,-84.40322,46.50179
"995",366863870,-72.35821,41.08753
"996",366941830,-94.86766,29.37734
"997",366941830,-94.8695,29.37607
"998",368140160,-87.14431,30.33475
"999",366941830,-94.86949,29.37625
"1000",368118150,-122.32993,47.39795
"1001",368084090,-90.27257,29.96643
"1002",368118150,-122.32996,47.39793
"1003",366941830,-94.86943,29.37592
"1004",366863870,-72.36147,41.09999
"1005",368084090,-90.26617,29.96729
"1006",316005971,-84.40327,46.50186
"1007",368084090,-90.26831,29.96709
"1008",366941830,-94.86948,29.37594
"1009",367614790,-157.87819,21.31669
"1010",366941830,-94.87575,29.37989
"1011",366941830,-94.86944,29.37594
"1012",316005971,-84.40323,46.50183
"1013",368084090,-90.25541,29.96815
"1014",316005971,-84.40323,46.50181
"1015",316005971,-84.40322,46.50184
"1016",338379253,-117.8959,33.62
"1017",316005971,-84.40327,46.50181
"1018",368084090,-90.27885,29.96458
"1019",316005971,-84.40324,46.50181
