ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
78,Streetcar,Randolph,1891,1900,0,FALSE,739.995656976
80,Streetcar,Randolph,1891,1900,1916,FALSE,1605.75712559
81,Streetcar,Randolph,1891,1900,1909,FALSE,401.859214173
82,Streetcar,Randolph,1891,1900,1906,FALSE,2683.00596821
243,Streetcar,Randolph,1890,19501954,0,FALSE,4321.79214199
125,Streetcar,Rice St,1891,19501954,0,FALSE,764.557827689
159,Streetcar,Rice St,1891,19501954,0,FALSE,4414.44759505
160,Streetcar,Rice St,1909,19501954,0,FALSE,405.235061749
9,Streetcar,Robbinsdale,1891,1914,0,FALSE,820.287553929
11,Streetcar,Robbinsdale,1890,19501954,0,FALSE,4087.56806304
107,Streetcar,Robbinsdale,1914,1948,0,FALSE,1348.08532406
172,Streetcar,Robbinsdale,1892,19501954,0,FALSE,396.923183133
173,Streetcar,Robbinsdale,1914,1947,0,FALSE,1546.1637754
174,Streetcar,Robbinsdale,1891,1948,0,FALSE,1280.10486948
190,Streetcar,Robbinsdale,1891,19501954,0,FALSE,2981.73743623
98,Streetcar,Robert St,1891,1938,0,FALSE,1166.16224314
361,Streetcar,Robert St,1891,19501954,0,FALSE,3196.56643388
87,Streetcar,Rondo,1912,1948,0,FALSE,800.272784065
88,Streetcar,Rondo,1905,1948,0,FALSE,649.4193
89,Streetcar,Rondo,1893,1948,0,FALSE,545.488703411
346,Streetcar,Rondo,1891,1948,0,FALSE,2390.921789
364,Streetcar,Rondo,0,19501954,0,FALSE,787.004421367
83,Streetcar,Saint Clair,1922,19501954,0,FALSE,804.455196341
84,Streetcar,Saint Clair,1915,19501954,0,FALSE,2105.82684344
203,Streetcar,Saint Clair,1917,19501954,0,FALSE,2618.8352144
285,Streetcar,Saint Clair,1890,19501954,0,FALSE,3149.7079974
85,Streetcar,Selby Lake,1893,1938,0,FALSE,580.878043766
183,Streetcar,Selby Lake,1906,19501954,0,FALSE,3499.66147373
210,Streetcar,Selby Lake,1891,1938,0,FALSE,442.187271037
211,Streetcar,Selby Lake,1891,19501954,0,FALSE,663.558571993
223,Streetcar,Selby Lake,1890,19501954,0,FALSE,4020.15960306
279,Streetcar,Selby Lake,1888,19501954,0,FALSE,1975.99595559
281,Streetcar,Selby Lake,1888,19501954,0,FALSE,1585.04957487
358,Streetcar,Selby Lake,1905,19501954,0,FALSE,5615.56269263
79,Streetcar,Snelling Ave,1927,19501954,0,FALSE,808.477835294
86,Streetcar,Snelling Ave,1891,19501954,0,FALSE,1610.84470546
206,Streetcar,Snelling Ave,1909,19501954,0,FALSE,1453.41350261
207,Streetcar,Snelling Ave,1905,19501954,0,FALSE,2533.24794031
231,Streetcar,Snelling Ave,1927,19501954,0,FALSE,789.466359988
232,Streetcar,Snelling Ave,1924,19501954,0,FALSE,817.619678065
283,Streetcar,Snelling Ave,1898,19501954,0,FALSE,412.960330477
99,Streetcar,South St Paul,1905,19501954,0,FALSE,7828.6836545
125,Streetcar,South St Paul,1891,19501954,0,FALSE,764.557827689
